#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
05.05.2025;10:35:29.786;ABBN.O.250505.PDIA.000002;STANDARD_OPTION_STRATEGY;BLOCK;CHF;6;2.31000000;1000;EXCHANGE_LAST;;1;1;XEUR;74525125763938053;574517;
05.05.2025;10:35:29.786;ABBN SI 20251219 PS AM P 43.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;6;2.86000000;1000;PRC_DECOMP_MEMBER;;;;XEUR;11848980;574517;MEMBER
05.05.2025;10:35:29.786;ABBN SI 20250620 PS AM P 41.50 0;SIMPLE_INSTRUMENT;BLOCK;CHF;6;0.55000000;1000;PRC_DECOMP_MEMBER;;;;XEUR;13090716;574517;MEMBER
05.05.2025;11:22:21.800;ABBN.O.250505.PDIA.000003;STANDARD_OPTION_STRATEGY;BLOCK;CHF;9;-0.23000000;1250;EXCHANGE_LAST;;1;1;XEUR;74525125763938054;574517;
05.05.2025;11:22:21.800;ABBN SI 20260320 PS AM P 38.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;9;1.77000000;1250;PRC_DECOMP_MEMBER;;;;XEUR;13051983;574517;MEMBER
05.05.2025;11:22:21.800;ABBN SI 20250919 PS AM P 43.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;9;2.00000000;1250;PRC_DECOMP_MEMBER;;;;XEUR;12393074;574517;MEMBER
05.05.2025;12:17:50.135;ACC SI 20250919 PS AM C 44.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;21;2.90000000;1000;EXCHANGE_LAST;;1;1;XEUR;11929023;626616;
05.05.2025;14:05:25.464;ADS.O.250505.BUL.000005;STANDARD_OPTION_STRATEGY;BLOCK;EUR;10;2.80000000;250;EXCHANGE_LAST;;1;1;XEUR;72057808786332841;50;
05.05.2025;14:05:25.464;ADS SI 20250620 PS AM C 240.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;10;0.64000000;250;PRC_DECOMP_EXCHANGE;;;;XEUR;7897600;50;EXCHANGE
05.05.2025;14:05:25.464;ADS SI 20250620 PS AM C 220.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;10;3.44000000;250;PRC_DECOMP_EXCHANGE;;;;XEUR;11297078;50;EXCHANGE
05.05.2025;08:15:04.119;AIR SI 20251219 PS AM C 190.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;4;8.35000000;300;EXCHANGE_LAST;;1;1;XEUR;12431440;64;
05.05.2025;11:12:45.252;AIR.O.250505.STG.000004;STANDARD_OPTION_STRATEGY;BLOCK;EUR;5;17.30000000;300;EXCHANGE_LAST;;1;1;XEUR;72057868915849918;64;
05.05.2025;11:12:45.252;AIR SI 20251219 PS AM P 180.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;5;9.50000000;300;PRC_DECOMP_MEMBER;;;;XEUR;11290320;64;MEMBER
05.05.2025;11:12:45.252;AIR SI 20251219 PS AM C 190.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;5;7.80000000;300;PRC_DECOMP_MEMBER;;;;XEUR;12431440;64;MEMBER
05.05.2025;10:23:44.395;ANN.O.250505.RTSP.000014;STANDARD_OPTION_STRATEGY;BLOCK;EUR;10;0.69000000;1400;EXCHANGE_LAST;;1;1;XEUR;72251735149670402;45202;
05.05.2025;10:23:44.395;ANN SI 20250516 PS AM P 28.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;10;0.27000000;1400;PRC_DECOMP_EXCHANGE;;;;XEUR;12838443;45202;EXCHANGE
