#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
26.05.2025;14:34:48.886;A2CR SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;29;1.26000000;632;EXCHANGE_LAST;;1;1;XEUR;10865362;45714;
26.05.2025;09:08:55.553;A2SG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;3;1.43000000;2188;EXCHANGE_LAST;;1;1;XEUR;10827627;14;
26.05.2025;11:05:45.238;A2SG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;10;1.43000000;2188;EXCHANGE_LAST;;1;1;XEUR;10827627;14;
26.05.2025;13:49:36.668;ABBN SI 20250620 PS AM C 50.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;22;0.37000000;1000;EXCHANGE_LAST;;1;1;XEUR;11409838;574517;
26.05.2025;13:49:36.771;ABBN SI 20250620 PS AM C 50.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;23;0.40000000;1000;EXCHANGE_LAST;;1;1;XEUR;11409838;574517;
26.05.2025;14:34:29.885;ACRI SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;28;45.72320000;7500;EXCHANGE_LAST;;1;1;XEUR;11167259;41;
26.05.2025;09:45:00.191;ALC SI 20251219 PS AM P 64.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;10;2.04000000;500;EXCHANGE_LAST;;1;1;XEUR;12477631;130134;
26.05.2025;11:05:04.156;ASGF SI 20250619 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;9;33.42230000;25000;EXCHANGE_LAST;;1;1;XEUR;12186943;949862;
26.05.2025;13:39:51.877;ASGF SI 20250619 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;22;33.03500000;10000;EXCHANGE_LAST;;1;1;XEUR;12186943;949862;
26.05.2025;09:03:45.604;BAEN SI 20260320 PS AM P 46.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;7;2.30000000;3000;EXCHANGE_LAST;;1;2;XEUR;12996740;159;
26.05.2025;09:42:19.244;BAY SI 20250620 PS AM C 27.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;0.25000000;500;EXCHANGE_LAST;;1;1;XEUR;11992379;168;
26.05.2025;09:14:05.386;BBVD SI 20250620 PS AM P 10.50 0;SIMPLE_INSTRUMENT;BLOCK;EUR;2;0.02000000;2750;EXCHANGE_LAST;;1;1;XEUR;11351439;172;
