#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
24.09.2024;14:21:21.216;A2XA SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;56;2.09500000;625;EXCHANGE_LAST;;1;2;XEUR;3681055;17;
24.09.2024;12:04:53.431;ADS SI 20241220 PS AM C 250.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;7;3.30000000;300;EXCHANGE_LAST;;1;1;XEUR;11870673;50;
24.09.2024;10:55:01.749;AHOI SI 20241220 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;24;31.22500000;3000;EXCHANGE_LAST;;1;1;XEUR;7050398;48791;
24.09.2024;15:00:49.747;ALC SI 20241018 PS AM C 82.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;62;2.32000000;400;EXCHANGE_LAST;;2;1;XEUR;11560329;130134;
24.09.2024;15:22:34.026;ALC SI 20250620 PS AM P 60.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;65;0.80000000;1250;EXCHANGE_LAST;;1;1;XEUR;7926482;130134;
24.09.2024;09:37:18.369;ALV SI 20261218 PS AM P 240.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;14.10000000;150;EXCHANGE_LAST;;1;1;XEUR;7152577;74;
24.09.2024;13:37:30.124;ALV SI 20241220 PS AM C 305.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;3;6.10000000;300;EXCHANGE_LAST;;1;1;XEUR;11871561;74;
24.09.2024;13:37:30.925;ALV SI 20241220 PS AM P 290.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;4;6.40000000;300;EXCHANGE_LAST;;1;1;XEUR;10819250;74;
24.09.2024;10:27:41.457;AMS SI 20250321 PS AM C 1.20 0;SIMPLE_INSTRUMENT;BLOCK;CHF;25;0.13000000;5000;EXCHANGE_LAST;;1;1;XEUR;10862778;10807;
24.09.2024;08:18:54.240;ASM SI 20250620 PS AM P 600.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;7;35.17000000;150;EXCHANGE_LAST;;1;1;XEUR;11349935;107;
