#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
21.10.2024;10:40:09.463;A2LV SI 20271217 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;25;14.86000000;60;EXCHANGE_LAST;;1;1;XEUR;5914253;12;
21.10.2024;16:03:03.472;A2XA SI 20241220 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;96;1.98000000;910;EXCHANGE_LAST;;1;1;XEUR;3629711;17;
21.10.2024;16:03:10.865;A2XA SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;97;2.11000000;910;EXCHANGE_LAST;;1;1;XEUR;3681055;17;
21.10.2024;16:03:24.253;A2XA SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;98;2.08000000;910;EXCHANGE_LAST;;1;1;XEUR;4632093;17;
21.10.2024;16:03:28.270;A2XA SI 20271217 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;99;1.96000000;910;EXCHANGE_LAST;;1;1;XEUR;5914267;17;
21.10.2024;09:38:57.069;ABBN SI 20250620 PS AM P 48.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;14;2.93000000;1500;EXCHANGE_LAST;;1;1;XEUR;8902740;574517;
21.10.2024;10:36:56.611;ABBN SI 20251219 PS AM C 55.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;25;2.30000000;1500;EXCHANGE_LAST;;1;1;XEUR;11849002;574517;
21.10.2024;12:07:54.395;ACR SI 20250321 PS AM C 42.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;14;2.60000000;2000;EXCHANGE_LAST;;1;1;XEUR;10828053;43;
21.10.2024;12:07:58.020;ACR SI 20250321 PS AM P 40.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;15;1.70000000;2000;EXCHANGE_LAST;;1;1;XEUR;10828076;43;
21.10.2024;08:13:22.762;ADS SI 20241220 PS AM C 260.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;4;1.35000000;250;EXCHANGE_LAST;;1;1;XEUR;10394230;50;
21.10.2024;08:56:54.255;ADS.O.241021.BUL.000005;STANDARD_OPTION_STRATEGY;BLOCK;EUR;7;5.37000000;350;EXCHANGE_LAST;;1;1;XEUR;72057808786329885;50;
21.10.2024;08:56:54.255;ADS SI 20241220 PS AM C 250.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;7;2.23000000;350;PRC_DECOMP_MEMBER;;;;XEUR;11870673;50;MEMBER
21.10.2024;08:56:54.255;ADS SI 20241220 PS AM C 230.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;7;7.60000000;350;PRC_DECOMP_MEMBER;;;;XEUR;11021853;50;MEMBER
21.10.2024;15:22:09.711;ADS SI 20281215 PS AM P 160.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;13;17.50000000;1000;EXCHANGE_LAST;;1;2;XEUR;10394342;50;
21.10.2024;14:12:49.210;AIR SI 20241220 PS AM C 180.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;26;2.40000000;750;EXCHANGE_LAST;;1;2;XEUR;11291016;64;
21.10.2024;14:20:08.743;AIR SI 20241220 PS AM P 150.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;28;0.65000000;300;EXCHANGE_LAST;;1;1;XEUR;11291019;64;
21.10.2024;14:54:04.903;ALV SI 20270618 PS AM C 280.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;7;41.00000000;300;EXCHANGE_LAST;;1;1;XEUR;11349425;74;
21.10.2024;14:54:12.856;ALV SI 20241220 PS AM P 280.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;8;2.50000000;300;EXCHANGE_LAST;;1;1;XEUR;4638032;74;
21.10.2024;13:07:21.285;ANN SI 20241220 PS AM C 32.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;8;1.35000000;750;EXCHANGE_LAST;;1;1;XEUR;7421949;45202;
21.10.2024;13:24:09.400;AOMH SI 20241220 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;49;20.51800000;33;EXCHANGE_LAST;;1;1;XEUR;11420311;840006;
21.10.2024;08:36:38.007;ASM SI 20241025 PS AM P 650.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;3;4.60000000;190;EXCHANGE_LAST;;1;1;XEUR;11841553;107;
21.10.2024;12:17:22.740;ASM SI 20271217 PS AM P 640.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;8;134.75000000;350;EXCHANGE_LAST;;1;2;XEUR;8773603;107;
21.10.2024;13:21:31.321;ASM.O.241021.BRT.000010;STANDARD_OPTION_STRATEGY;BLOCK;EUR;11;83.00000000;100;EXCHANGE_LAST;;1;1;XEUR;72058053599443860;107;
21.10.2024;13:21:31.321;ASM SI 20261218 PS AM P 640.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;11;111.77000000;100;PRC_DECOMP_EXCHANGE;;;;XEUR;7152934;107;EXCHANGE
21.10.2024;13:21:31.321;ASM SI 20241220 PS AM P 640.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;11;28.77000000;100;PRC_DECOMP_EXCHANGE;;;;XEUR;5892234;107;EXCHANGE
21.10.2024;10:20:13.312;ASMH SI 20241220 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;17;665.00000000;500;EXCHANGE_LAST;;1;1;XEUR;7047762;3979;
21.10.2024;14:38:23.362;AXA.O.241021.BER.000002;STANDARD_OPTION_STRATEGY;BLOCK;EUR;29;1.39000000;2500;EXCHANGE_LAST;;1;1;XEUR;72058139498792969;127;
21.10.2024;14:38:23.362;AXA SI 20250620 PS AM P 28.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;29;0.58000000;2500;PRC_DECOMP_EXCHANGE;;;;XEUR;7898734;127;EXCHANGE
21.10.2024;14:38:23.362;AXA SI 20250620 PS AM P 34.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;29;1.97000000;2500;PRC_DECOMP_EXCHANGE;;;;XEUR;10812137;127;EXCHANGE
21.10.2024;16:01:58.207;AXA FI 20271217 PS EU P 35.0000 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;36;5.66000000;10000;EXCHANGE_LAST;;1;1;XEUR;1152922050067702721;127;
21.10.2024;16:02:35.469;AXA FI 20271217 PS EU C 35.0000 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;37;3.40000000;10000;EXCHANGE_LAST;;1;1;XEUR;1152922050067702722;127;
21.10.2024;12:52:55.597;AXNF SI 20241219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;43;27.70450000;3;EXCHANGE_LAST;;1;1;XEUR;7029371;32917;
21.10.2024;08:11:51.129;B2AS SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;1;2.25000000;87;EXCHANGE_LAST;;1;1;XEUR;3681119;140;
21.10.2024;15:10:24.953;B2AS SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;82;2.15000000;373;EXCHANGE_LAST;;1;1;XEUR;4632165;140;
21.10.2024;15:31:22.291;BAEN SI 20250620 PS AM P 40.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;62;0.80000000;500;EXCHANGE_LAST;;1;1;XEUR;7899020;159;
21.10.2024;09:06:31.225;BAS FI 20241115 CS EU C 49.0000 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;4;0.60000000;3000;EXCHANGE_LAST;;1;1;XEUR;1152922148851952469;150;
21.10.2024;09:06:11.139;BAS FI 20241115 CS EU C 48.5000 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;5;0.76000000;1500;EXCHANGE_LAST;;1;1;XEUR;1152922148851952470;150;
21.10.2024;09:05:39.671;BAS FI 20241115 CS EU C 48.5000 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;6;0.77000000;1500;EXCHANGE_LAST;;1;1;XEUR;1152922148851952470;150;
21.10.2024;10:39:01.208;BAS SI 20241115 PS AM C 50.00 0;SIMPLE_INSTRUMENT;ENLIGHT;EUR;7;0.35000000;1000;EXCHANGE_LAST;;1;1;XEUR;11768133;150;
21.10.2024;13:04:13.427;BAS SI 20250321 PS AM P 42.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;11;1.12000000;4000;EXCHANGE_LAST;;1;1;XEUR;10830938;150;
21.10.2024;13:07:31.354;BAS SI 20241220 PS AM P 46.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;12;1.52000000;2000;EXCHANGE_LAST;;1;1;XEUR;7509954;150;
21.10.2024;15:16:20.258;BAS FI 20241028 CS EU C 47.3373 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;15;0.30000000;3656;EXCHANGE_LAST;;1;1;XEUR;1152922148851952472;150;
21.10.2024;15:18:13.359;BAS FI 20241028 CS EU C 46.2253 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;16;0.82000000;2925;EXCHANGE_LAST;;1;1;XEUR;1152922148851952471;150;
21.10.2024;15:18:29.475;BAS FI 20241028 CS EU C 46.2253 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;17;0.81000000;731;EXCHANGE_LAST;;1;1;XEUR;1152922148851952471;150;
21.10.2024;16:39:05.994;BAS SI 20250321 PS AM P 44.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;18;1.66000000;500;EXCHANGE_LAST;;1;1;XEUR;10830944;150;
21.10.2024;13:50:09.018;BASE SI 20250919 PS EU C 42.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;13;6.47000000;2000;EXCHANGE_LAST;;1;1;XEUR;11872880;151;
21.10.2024;13:50:27.932;BASE SI 20250919 PS EU C 56.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;14;1.00000000;3000;EXCHANGE_LAST;;1;1;XEUR;11872756;151;
21.10.2024;10:53:45.958;BAY SI 20241115 PS AM C 29.00 0;SIMPLE_INSTRUMENT;ENLIGHT;EUR;8;0.19000000;1700;EXCHANGE_LAST;;1;1;XEUR;11700390;168;
21.10.2024;08:21:25.836;BEI SI 20241115 PS AM P 128.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;5;2.00000000;349;EXCHANGE_LAST;;1;1;XEUR;11700136;176;
21.10.2024;13:40:24.778;BEIG SI 20241220 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;57;130.88300000;8;EXCHANGE_LAST;;1;1;XEUR;7032030;177;
21.10.2024;10:59:32.572;BMW SI 20241115 PS AM C 80.00 0;SIMPLE_INSTRUMENT;ENLIGHT;EUR;4;0.69000000;500;EXCHANGE_LAST;;1;1;XEUR;11700936;210;
